x,y,z
0.035,-0.005325,-0.15725
0.035,-0.005325,-0.1615
0.035,-0.005325,-0.1615
0.035,-0.005325,-0.15725
0.035,-0.0071,-0.15725
0.035,-0.0071,-0.1615
0.035,-0.0071,-0.1615
0.035,-0.0071,-0.15725
0.035,-0.008875,-0.15725
0.035,-0.008875,-0.1615
0.035,-0.008875,-0.1615
0.035,-0.008875,-0.15725
0.035,-0.01065,-0.15725
0.035,-0.01065,-0.1615
0.035,-0.01065,-0.1615
0.035,-0.01065,-0.15725
0.035,-0.012425,-0.15725
0.035,-0.012425,-0.1615
0.035,-0.012425,-0.1615
0.035,-0.012425,-0.15725
0.035,-0.0142,-0.15725
0.035,-0.0142,-0.1615
0.035,-0.0142,-0.1615
0.035,-0.0142,-0.15725
0.035,-0.015975,-0.15725
0.035,-0.015975,-0.1615
0.035,-0.015975,-0.1615
0.035,-0.015975,-0.15725
0.035,-0.01775,-0.15725
0.035,-0.01775,-0.1615
0.035,0.01775,-0.15725
0.035,0.01775,-0.153
0.035,0.015975,-0.153
0.035,0.015975,-0.15725
0.035,0.015975,-0.15725
0.035,0.015975,-0.153
0.035,0.0142,-0.153
0.035,0.0142,-0.15725
0.035,0.0142,-0.15725
0.035,0.0142,-0.153
0.035,0.012425,-0.153
0.035,0.012425,-0.15725
0.035,0.012425,-0.15725
0.035,0.012425,-0.153
0.035,0.01065,-0.153
0.035,0.01065,-0.15725
0.035,0.01065,-0.15725
0.035,0.01065,-0.153
0.035,0.008875,-0.153
0.035,0.008875,-0.15725
0.035,0.008875,-0.15725
0.035,0.008875,-0.153
0.035,0.0071,-0.153
0.035,0.0071,-0.15725
0.035,0.0071,-0.15725
0.035,0.0071,-0.153
0.035,0.005325,-0.153
0.035,0.005325,-0.15725
0.035,0.005325,-0.15725
0.035,0.005325,-0.153
0.035,0.00355,-0.153
0.035,0.00355,-0.15725
0.035,0.00355,-0.15725
0.035,0.00355,-0.153
0.035,0.001775,-0.153
0.035,0.001775,-0.15725
0.035,0.001775,-0.15725
0.035,0.001775,-0.153
0.035,0.0,-0.153
0.035,0.0,-0.15725
0.035,0.0,-0.15725
0.035,0.0,-0.153
0.035,-0.001775,-0.153
0.035,-0.001775,-0.15725
0.035,-0.001775,-0.15725
0.035,-0.001775,-0.153
0.035,-0.00355,-0.153
0.035,-0.00355,-0.15725
0.035,-0.00355,-0.15725
0.035,-0.00355,-0.153
0.035,-0.005325,-0.153
0.035,-0.005325,-0.15725
0.035,-0.005325,-0.15725
0.035,-0.005325,-0.153
0.035,-0.0071,-0.153
0.035,-0.0071,-0.15725
0.035,-0.0071,-0.15725
0.035,-0.0071,-0.153
0.035,-0.008875,-0.153
0.035,-0.008875,-0.15725
0.035,-0.008875,-0.15725
0.035,-0.008875,-0.153
0.035,-0.01065,-0.153
0.035,-0.01065,-0.15725
0.035,-0.01065,-0.15725
0.035,-0.01065,-0.153
0.035,-0.012425,-0.153
0.035,-0.012425,-0.15725
0.035,-0.012425,-0.15725
0.035,-0.012425,-0.153
0.035,-0.0142,-0.153
0.035,-0.0142,-0.15725
0.035,-0.0142,-0.15725
0.035,-0.0142,-0.153
0.035,-0.015975,-0.153
0.035,-0.015975,-0.15725
0.035,-0.015975,-0.15725
0.035,-0.015975,-0.153
0.035,-0.01775,-0.153
0.035,-0.01775,-0.15725
0.035,0.01775,-0.153
0.035,0.01775,-0.14875
0.035,0.015975,-0.14875
0.035,0.015975,-0.153
0.035,0.015975,-0.153
0.035,0.015975,-0.14875
0.035,0.0142,-0.14875
0.035,0.0142,-0.153
0.035,0.0142,-0.153
0.035,0.0142,-0.14875
0.035,0.012425,-0.14875
0.035,0.012425,-0.153
0.035,0.012425,-0.153
0.035,0.012425,-0.14875
0.035,0.01065,-0.14875
0.035,0.01065,-0.153
0.035,0.01065,-0.153
0.035,0.01065,-0.14875
0.035,0.008875,-0.14875
0.035,0.008875,-0.153
0.035,0.008875,-0.153
0.035,0.008875,-0.14875
0.035,0.0071,-0.14875
0.035,0.0071,-0.153
0.035,0.0071,-0.153
0.035,0.0071,-0.14875
0.035,0.005325,-0.14875
0.035,0.005325,-0.153
0.035,0.005325,-0.153
0.035,0.005325,-0.14875
0.035,0.00355,-0.14875
0.035,0.00355,-0.153
0.035,0.00355,-0.153
0.035,0.00355,-0.14875
0.035,0.001775,-0.14875
0.035,0.001775,-0.153
0.035,0.001775,-0.153
0.035,0.001775,-0.14875
0.035,0.0,-0.14875
0.035,0.0,-0.153
0.035,0.0,-0.153
0.035,0.0,-0.14875
0.035,-0.001775,-0.14875
0.035,-0.001775,-0.153
0.035,-0.001775,-0.153
0.035,-0.001775,-0.14875
0.035,-0.00355,-0.14875
0.035,-0.00355,-0.153
0.035,-0.00355,-0.153
0.035,-0.00355,-0.14875
0.035,-0.005325,-0.14875
0.035,-0.005325,-0.153
0.035,-0.005325,-0.153
0.035,-0.005325,-0.14875
0.035,-0.0071,-0.14875
0.035,-0.0071,-0.153
0.035,-0.0071,-0.153
0.035,-0.0071,-0.14875
0.035,-0.008875,-0.14875
0.035,-0.008875,-0.153
0.035,-0.008875,-0.153
0.035,-0.008875,-0.14875
0.035,-0.01065,-0.14875
0.035,-0.01065,-0.153
0.035,-0.01065,-0.153
0.035,-0.01065,-0.14875
0.035,-0.012425,-0.14875
0.035,-0.012425,-0.153
0.035,-0.012425,-0.153
0.035,-0.012425,-0.14875
0.035,-0.0142,-0.14875
0.035,-0.0142,-0.153
0.035,-0.0142,-0.153
0.035,-0.0142,-0.14875
0.035,-0.015975,-0.14875
0.035,-0.015975,-0.153
0.035,-0.015975,-0.153
0.035,-0.015975,-0.14875
0.035,-0.01775,-0.14875
0.035,-0.01775,-0.153
0.035,0.01775,-0.14875
0.035,0.01775,-0.1445
0.035,0.015975,-0.1445
0.035,0.015975,-0.14875
0.035,0.015975,-0.14875
0.035,0.015975,-0.1445
0.035,0.0142,-0.1445
0.035,0.0142,-0.14875
0.035,0.0142,-0.14875
0.035,0.0142,-0.1445
0.035,0.012425,-0.1445
0.035,0.012425,-0.14875
0.035,0.012425,-0.14875
0.035,0.012425,-0.1445
0.035,0.01065,-0.1445
0.035,0.01065,-0.14875
0.035,0.01065,-0.14875
0.035,0.01065,-0.1445
0.035,0.008875,-0.1445
0.035,0.008875,-0.14875
0.035,0.008875,-0.14875
0.035,0.008875,-0.1445
0.035,0.0071,-0.1445
0.035,0.0071,-0.14875
0.035,0.0071,-0.14875
0.035,0.0071,-0.1445
0.035,0.005325,-0.1445
